Date,Price
1989/10/31,2623.4918
1989/11/30,2676.9957
1989/12/29,2741.2831
1990/01/31,2557.2322
1990/02/28,2590.0334
1990/03/30,2658.5452
1990/04/30,2592.0259
1990/05/31,2844.5112
1990/06/29,2825.2463
1990/07/31,2816.0849
1990/08/31,2561.34
1990/09/28,2436.5397
1990/10/31,2426.0856
1990/11/30,2582.7363
1990/12/31,2654.5475
1991/01/31,2770.0118
1991/02/28,2967.8656
1991/03/29,3039.8083
1991/04/30,3046.8209
1991/05/31,3178.2516
1991/06/28,3032.6133
1991/07/31,3173.8894
1991/08/30,3248.7106
1991/09/30,3194.3451
1991/10/31,3237.2558
1991/11/29,3106.6683
1991/12/31,3461.8026
1992/01/31,3397.3022
1992/02/28,3441.259
1992/03/31,3374.3122
1992/04/30,3473.3623
1992/05/29,3490.647
1992/06/30,3438.7206
1992/07/31,3579.197
1992/08/31,3505.9208
1992/09/30,3547.1292
1992/10/30,3559.3706
1992/11/30,3680.5421
1992/12/31,3725.6509
1993/01/29,3756.7997
1993/02/26,3807.975
1993/03/31,3888.3672
1993/04/30,3794.3733
1993/05/31,3895.7761
1993/06/30,3907.1159
1993/07/30,3891.4168
1993/08/31,4038.9955
1993/09/30,4007.864
1993/10/29,4090.7704
1993/11/30,4051.7672
1993/12/31,4100.6577
1994/01/31,4240.0937
1994/02/28,4125.0019
1994/03/31,3945.2262
1994/04/29,3995.812
1994/05/31,4061.4021
1994/06/30,3961.9267
1994/07/29,4091.8924
1994/08/31,4259.6566
1994/09/30,4155.39
1994/10/31,4248.7547
1994/11/30,4094.0217
1994/12/30,4154.5381
1995/01/31,4262.2746
1995/02/28,4428.3814
1995/03/31,4559.0294
1995/04/28,4693.2749
1995/05/31,4880.7557
1995/06/30,4994.1
1995/07/31,5159.7053
1995/08/31,5172.5233
1995/09/29,5390.8288
1995/10/31,5371.5038
1995/11/30,5607.1714
1995/12/29,5714.9438
1996/01/31,5909.1022
1996/02/29,5963.8193
1996/03/29,6021.2157
1996/04/30,6109.7919
1996/05/31,6266.9289
1996/06/28,6290.731
1996/07/31,6012.6513
1996/08/30,6139.5022
1996/09/30,6485.0837
1996/10/31,6663.8363
1996/11/29,7167.4953
1996/12/31,7025.3341
1997/01/31,7464.1201
1997/02/28,7522.6231
1997/03/31,7213.554
1997/04/30,7643.9876
1997/05/30,8109.3498
1997/06/30,8472.6743
1997/07/31,9146.4178
1997/08/29,8633.7477
1997/09/30,9106.5737
1997/10/31,8802.3483
1997/11/28,9209.8929
1997/12/31,9367.8588
1998/01/30,9471.369
1998/02/27,10154.4812
1998/03/31,10674.3993
1998/04/30,10781.5338
1998/05/29,10595.8894
1998/06/30,11026.1867
1998/07/31,10908.6512
1998/08/31,9331.4499
1998/09/30,9929.2689
1998/10/30,10736.824
1998/11/30,11387.5356
1998/12/31,12043.4921
1999/01/29,12547.1057
1999/02/26,12157.0622
1999/03/31,12643.4388
1999/04/30,13132.9572
1999/05/31,12822.8002
1999/06/30,13534.4325
1999/07/30,13111.6953
1999/08/31,13046.9868
1999/09/30,12689.296
1999/10/29,13492.1927
1999/11/30,13766.4073
1999/12/31,14577.0071
2000/01/31,13844.6231
2000/02/29,13582.4337
2000/03/31,14911.2131
2000/04/28,14462.5092
2000/05/31,14165.7
2000/06/30,14514.9215
2000/07/31,14288.8781
2000/08/31,15176.4294
2000/09/29,14375.1783
2000/10/31,14314.3278
2000/11/30,13185.8575
2000/12/29,13250.3001
2001/01/31,13720.4043
2001/02/28,12469.2476
2001/03/30,11679.3247
2001/04/30,12586.8294
2001/05/31,12671.1476
2001/06/29,12362.6644
2001/07/31,12240.8435
2001/08/31,11474.5782
2001/09/28,10547.8288
2001/10/31,10748.804
2001/11/30,11573.4031
2001/12/31,11674.7804
2002/01/31,11504.5109
2002/02/28,11282.3972
2002/03/29,11706.7174
2002/04/30,10996.7952
2002/05/31,10915.7757
2002/06/28,10139.1081
2002/07/31,9348.7999
2002/08/30,9409.9784
2002/09/30,8387.2871
2002/10/31,9125.5273
2002/11/29,9662.6422
2002/12/31,9094.9418
2003/01/31,8856.6778
2003/02/28,8723.7911
2003/03/31,8808.409
2003/04/30,9533.7949
2003/05/30,10036.0535
2003/06/30,10163.9882
2003/07/31,10342.8475
2003/08/29,10544.4574
2003/09/30,10432.4784
2003/10/31,11022.1629
2003/11/28,11118.9643
2003/12/31,11702.0233
2004/01/30,11916.7992
2004/02/27,12082.3191
2004/03/31,11900.0233
2004/04/30,11713.2882
2004/05/31,11873.8415
2004/06/30,12104.8083
2004/07/30,11704.1387
2004/08/31,11751.3835
2004/09/30,11878.5879
2004/10/29,12060.1047
